date,borough,total_trips
2025-03-10 00:00:00,Brooklyn,907
2025-03-10 00:00:00,EWR,3
2025-03-10 00:00:00,Manhattan,73953
2025-03-10 00:00:00,Queens,10280
2025-03-10 00:00:00,Unknown,226
2025-03-11 00:00:00,Bronx,232
2025-03-11 00:00:00,Brooklyn,907
2025-03-11 00:00:00,EWR,3
2025-03-11 00:00:00,Manhattan,91281
2025-03-11 00:00:00,Queens,8615
2025-03-11 00:00:00,Staten Island,5
2025-03-11 00:00:00,Unknown,310
2025-03-12 00:00:00,Bronx,228
2025-03-12 00:00:00,Brooklyn,952
2025-03-12 00:00:00,EWR,1
2025-03-12 00:00:00,Manhattan,101513
2025-03-12 00:00:00,Queens,8515
2025-03-12 00:00:00,Staten Island,4
2025-03-12 00:00:00,Unknown,289
2025-03-13 00:00:00,Bronx,248
2025-03-13 00:00:00,Brooklyn,991
2025-03-13 00:00:00,EWR,4
2025-03-13 00:00:00,Manhattan,108555
2025-03-13 00:00:00,Queens,8976
2025-03-13 00:00:00,Staten Island,2
2025-03-13 00:00:00,Unknown,312
2025-03-14 00:00:00,Bronx,312
2025-03-14 00:00:00,Brooklyn,993
2025-03-14 00:00:00,EWR,2
2025-03-14 00:00:00,Manhattan,99606
2025-03-14 00:00:00,Queens,8994
2025-03-14 00:00:00,Staten Island,1
2025-03-14 00:00:00,Unknown,234
2025-03-15 00:00:00,Bronx,178
2025-03-15 00:00:00,Brooklyn,892
2025-03-15 00:00:00,EWR,7
2025-03-15 00:00:00,Manhattan,99501
2025-03-15 00:00:00,Queens,7091
2025-03-15 00:00:00,Staten Island,3
2025-03-15 00:00:00,Unknown,220
2025-03-16 00:00:00,Bronx,148
2025-03-16 00:00:00,Brooklyn,843
2025-03-16 00:00:00,EWR,3
2025-03-16 00:00:00,Manhattan,72596
2025-03-16 00:00:00,Queens,9547
2025-03-16 00:00:00,Staten Island,2
2025-03-16 00:00:00,Unknown,191
2025-03-17 00:00:00,Bronx,248
2025-03-17 00:00:00,Brooklyn,943
2025-03-17 00:00:00,EWR,6
2025-03-17 00:00:00,Manhattan,73754
2025-03-17 00:00:00,Queens,11715
